,1. open,2. high,3. low,4. close,5. volume
2021-04-30,372.2,402.16,360.55,398.8,56372667.0
2021-05-28,401.0,425.98,400.53,411.92,49822954.0
2021-06-30,413.73,413.73,387.25,400.44,82542898.0
2021-07-30,402.03,422.53,401.81,412.22,51539661.0
2021-08-31,413.57,431.355,404.3,416.27,47566823.0
2021-09-30,416.54,424.4,390.46,390.74,59614464.0
2021-10-29,391.6,461.39,383.12,460.47,60243412.0
2021-11-30,461.82,466.0,436.0,444.22,61039911.0
2021-12-31,452.89,509.23,439.2186,502.14,64879882.0
2022-01-31,500.0,503.75,447.27,472.57,80582632.0
2022-02-28,475.0,500.93,445.735,475.87,58396877.0
2022-03-31,470.89,521.89,467.725,509.97,73507995.0
2022-04-29,510.68,553.29,504.5301,508.55,61044463.0
2022-05-31,510.81,513.51,463.33,496.78,67952080.0
2022-06-30,498.32,518.7,449.7009,513.63,84916222.0
2022-07-29,512.32,544.335,492.25,542.34,58397128.0
2022-08-31,542.27,553.1299,519.155,519.33,46439244.0
2022-09-30,519.33,535.02,499.0,505.04,54731954.0
2022-10-31,507.08,558.1,487.74,555.15,59745267.0
2022-11-30,555.0,555.69,500.7724,547.76,77569978.0
2022-12-30,552.36,553.0,515.72,530.18,53394257.0
2023-01-31,525.13,525.63,474.75,499.19,81009853.0
2023-02-28,499.95,504.38,463.89,475.94,69807542.0
2023-03-31,473.61,486.29,457.59,472.59,72716281.0
2023-04-28,485.2,530.45,478.36,492.09,66256067.0
2023-05-31,494.59,500.85,472.544,487.24,53525087.0
2023-06-30,487.79,502.9,445.68,480.64,92431339.0
2023-07-31,478.1,515.86,447.18,506.37,89701038.0
2023-08-31,507.5,513.65,476.29,476.58,52519924.0
2023-09-29,479.0,514.15,472.12,504.19,60030414.0
2023-10-31,505.53,546.78,503.135,535.56,62298870.0
2023-11-30,529.98,553.94,526.8,552.97,55881068.0
2023-12-29,550.42,554.7,515.87,526.47,61579456.0
2024-01-31,526.84,549.0,479.0,511.74,96991861.0
2024-02-29,508.83,532.81,484.39,493.6,70449735.0
2024-03-28,489.42,496.2,468.19,494.7,82006419.0
2024-04-30,494.47,507.3,436.38,483.7,120360970.0
2024-05-31,479.26,528.16,473.27,495.37,72647277.0
2024-06-28,494.13,509.4,478.11,509.26,89758009.0
2024-07-31,506.745,581.5,484.5,576.16,95465875.0
2024-08-30,577.2,593.255,557.025,590.2,60430104.0
2024-09-30,592.52,607.94,566.0,584.68,60790994.0
2024-10-31,585.0,608.63,543.0,564.5,74142967.0
2024-11-29,565.12,630.73,554.4,610.2,67006436.0
2024-12-31,614.0,622.83,475.82,505.86,143933588.0
2025-01-31,508.0,551.905,502.8,542.49,91235503.0
2025-02-28,542.0,553.91,438.5,474.96,103666615.0
2025-03-21,474.37,519.0,465.2075,516.85,72262789.0
