,1. open,2. high,3. low,4. close,5. volume
2019-08-30,130.26,134.1,126.63,128.36,175236850.0
2019-09-30,127.99,132.78,126.34,129.38,124079875.0
2019-10-31,130.02,137.49,126.1,132.04,208044111.0
2019-11-29,132.05,138.63,129.68,137.49,127783294.0
2019-12-31,137.72,147.84,136.16,145.87,127539619.0
2020-01-31,145.87,151.19,141.38,148.87,150447700.0
2020-02-28,149.42,154.5,130.82,134.48,147282695.0
2020-03-31,134.78,143.64,109.16,131.13,355130991.0
2020-04-30,127.7,157.0,125.5,150.04,234258695.0
2020-05-29,149.62,153.62,143.01,148.75,136220967.0
2020-06-30,147.29,150.03,137.02,140.63,173851578.0
2020-07-31,140.69,151.67,140.06,145.76,137813607.0
2020-08-31,146.39,154.4,145.8247,153.41,109838615.0
2020-09-30,153.87,155.47,142.96,148.88,138804749.0
2020-10-30,149.31,153.142,133.65,137.11,137289386.0
2020-11-30,138.98,151.3,137.49,144.68,153632314.0
2020-12-31,146.29,157.66,145.86,157.38,158848089.0
2021-01-29,157.24,173.65,154.13,163.13,184468267.0
2021-02-26,165.31,167.94,157.97,158.46,145703168.0
2021-03-31,161.45,167.03,151.47,164.35,175075046.0
2021-04-30,162.6,167.7899,156.53,162.73,162666701.0
2021-05-28,163.6,172.74,163.12,169.25,131244877.0
2021-06-30,170.15,170.2,161.79,164.74,145663761.0
2021-07-30,164.74,173.3801,164.63,172.2,133719594.0
2021-08-31,172.47,179.92,171.3,173.13,114788991.0
2021-09-30,172.9,175.22,161.41,161.5,132035291.0
2021-10-29,161.53,166.03,157.34,162.88,136330276.0
2021-11-30,163.16,167.62,155.85,155.93,162042197.0
2021-12-31,156.88,173.51,156.25,171.07,167967356.0
2022-01-31,170.21,174.3,158.26,172.29,164864607.0
2022-02-28,171.74,173.62,155.72,164.57,154521593.0
2022-03-31,163.04,180.21,162.4079,177.23,178828338.0
2022-04-29,177.05,186.69,175.52,180.46,163085375.0
2022-05-31,180.47,181.74,172.69,179.53,152671542.0
2022-06-30,179.15,183.3506,167.26,177.51,159327466.0
2022-07-29,177.45,179.99,169.76,174.52,114642190.0
2022-08-31,174.17,175.49,161.27,161.34,157194059.0
2022-09-30,161.49,167.67,160.81,163.36,168208394.0
2022-10-31,164.29,175.39,159.17,173.97,139409660.0
2022-11-30,174.06,178.12,166.82,178.0,138345404.0
2022-12-30,179.0,181.039,174.07,176.65,129804586.0
2023-01-31,176.16,180.93,161.05,163.42,160523975.0
2023-02-28,162.99,166.34,153.04,153.26,164788113.0
2023-03-31,153.01,156.25,150.11,155.0,185727779.0
2023-04-28,154.95,167.23,153.94,163.7,145984330.0
2023-05-31,163.6,166.18,153.32,155.06,131391015.0
2023-06-30,154.54,166.27,153.15,165.52,146420516.0
2023-07-31,164.34,175.36,157.33,167.53,201433484.0
2023-08-31,166.365,175.97,161.279,161.68,1084597713.0
2023-09-29,161.42,165.27,155.255,155.75,147239309.0
2023-10-31,155.42,159.27,144.95,148.34,152897051.0
2023-11-30,149.19,155.14,145.64,154.66,131093910.0
2023-12-29,156.44,160.02,151.77,156.74,146190240.0
2024-01-31,156.93,163.58,156.79,158.9,137043535.0
2024-02-29,158.16,162.25,154.84,161.38,158290166.0
2024-03-28,161.83,163.11,154.76,158.19,140255821.0
2024-04-30,157.72,158.15,143.13,144.59,175269665.0
2024-05-31,148.735,154.86,143.71,146.67,174619298.0
2024-06-28,147.25,149.7199,143.88,146.16,132521167.0
2024-07-31,146.07,161.58,144.5,157.85,151363123.0
2024-08-30,158.48,165.98,156.44,165.86,150665081.0
2024-09-30,165.24,168.85,160.02,162.06,119986620.0
2024-10-31,162.43,166.75,158.775,159.86,133028984.0
2024-11-29,160.58,161.06,150.76,155.01,153342736.0
2024-12-31,154.75,155.0,142.75,144.62,177839640.0
2025-01-31,145.23,154.14,140.68,152.15,192830075.0
2025-02-28,152.0,166.43,150.78,165.02,169977785.0
2025-03-21,164.96,169.99,161.1,163.63,139047953.0
